"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
4054394.11747017,12.6947198817506,11.9853393321391,9.73385028191842,11.9085490750149,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1
4568719.54144833,9.45328697864898,12.2762912034523,6.29624324012548,9.43940640916117,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0
2988178.55078524,10.132691601757,7.91672666487284,6.69565403671004,11.548296275083,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
3041175.8756839,6.39674027869478,6.35305422218516,8.97142559220083,8.68590265582316,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0
1490793.78313766,12.6563433713745,10.8820710524451,12.4211901912931,7.66110879555345,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
2576889.2552344,12.4135634319391,6.59777103480883,9.39162770914845,9.87010697298683,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1
399512.888419881,11.6348045684863,10.5683380463161,11.2940298919566,7.94110054080375,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0
6737797.39967659,11.4175213379785,8.47136462945491,8.05496313725598,12.3049161587842,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0
3324118.16788871,7.4547194049228,8.49813177715987,9.80630122963339,11.3685693361331,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
562844.551600353,6.54516760306433,9.60886316001415,11.566696528811,7.76382528617978,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0
4448469.92202774,11.2513602871913,8.56354005355388,9.09833718440495,11.3494852627628,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0
15255.9189847844,11.1318589237053,8.69702610070817,8.90229967795312,6.33539017196745,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0
1790959.52320631,10.4703082633205,6.58229237841442,7.42719635739923,11.9358723529149,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
607030.727398081,10.2304137458559,7.32026560977101,7.66533501376398,7.71610895427875,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1780624.44589782,11.1778641003184,10.2939147090074,9.09523371281102,9.20667562074959,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1
3114676.96725512,7.46320845675655,12.7509810051415,8.74011932685971,8.9799128822051,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0
4814953.8366803,8.33880722941831,11.0161156011745,12.0678569301963,9.24048266094178,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0
10975130.0914135,6.93973001441918,6.14147581183352,10.0979794929735,11.7360156353097,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1
1455238.17568465,8.43297901004553,10.757224554196,8.64801183342934,12.9786658959929,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
326081.483498889,10.3409776792396,12.2804733254015,6.07127953809686,6.99030670337379,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
3371184.80907788,10.5296076657251,10.3365758175496,8.60485407151282,11.7290155461524,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0
2634571.19497828,6.22523300442845,8.94477359578013,8.36116922157817,11.8004971828777,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0
1347259.46727404,7.46820200956427,11.6831765861716,6.93612063862383,8.30362661089748,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0
1448520.38234462,7.96382508520037,11.3428903536405,6.89788306341507,8.94528584647924,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0
1657752.7444833,10.347596362466,10.5178981623612,8.78430699952878,10.1215562087018,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
4677580.1774617,11.7696747209411,11.543094849214,6.65297208935954,12.1979289837182,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1
362900.558301479,9.09386445186101,11.0698765108828,11.6097603237722,6.42047823686153,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1
3510904.59410603,9.1771879279986,11.8309486077633,8.26496973005123,10.8124682544731,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0
1700531.56374088,7.35637083998881,9.97419035318308,6.78028539335355,8.45691973506473,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0
2559940.58767716,9.94100608793087,6.97479532030411,7.93527499865741,12.1610343120992,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0
660242.378325187,10.0872495456133,6.56887126504444,7.15382254240103,6.03125009918585,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0
2960862.26535695,6.85699957073666,7.80752590997145,7.6715753567405,12.2782205974218,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0
2879328.17036917,10.7392685781233,10.2581876870245,9.97860703151673,8.80400806688704,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0
